Irradiance,BodyTemperature,RelativeHumidity,Pressure,SunZenith,Month,Day,Hour,DayOfTheYear,UnixTime,DayLength
3.44,7.28,0.08,992.78125,0.0818276910761476,1,1,8,1,1514794503.0,8.71
10.88,7.14,0.07,992.28125,1.91479364587901,1,1,8,1,1514795403.0,8.71
16.4,7.66,0.18,994.09375,3.81311177344699,1,1,8,1,1514796303.0,8.71
17.5,7.63,0.15,993.875,5.68362724571351,1,1,9,1,1514797203.0,8.71
19.37,7.59,0.15,993.8125,7.48859669702929,1,1,9,1,1514798103.0,8.71
55.96,7.7,0.14,994.21875,9.20961493537785,1,1,9,1,1514799003.0,8.71
52.56,7.8,0.17,994.59375,10.8346472209587,1,1,9,1,1514799903.0,8.71
52.88,7.78,0.16,994.40625,12.3540675205058,1,1,10,1,1514800803.0,8.71
50.85,7.19,0.05,992.6875,13.7592400747033,1,1,10,1,1514801703.0,8.71
60.14,7.86,0.18,994.875,15.0421597379869,1,1,10,1,1514802603.0,8.71
285.51,8.36,0.3,997.125,16.1953282424636,1,1,10,1,1514803503.0,8.71
287.43,10.04,0.62,1003.0625,17.2116806569816,1,1,11,1,1514804403.0,8.71
306.46,11.42,0.82,1007.75,18.0847500467707,1,1,11,1,1514805303.0,8.71
328.94,12.48,1.0,1011.40625,18.8087264744519,1,1,11,1,1514806203.0,8.71
136.41,12.67,1.03,1012.53125,19.3786114282118,1,1,11,1,1514807103.0,8.71
348.24,12.95,1.08,1013.21875,19.7903454577509,1,1,12,1,1514808003.0,8.71
347.72,14.6,1.41,1020.03125,20.0409172274601,1,1,12,1,1514808903.0,8.71
346.86,14.7,1.37,1019.71875,20.1284753194849,1,1,12,1,1514809803.0,8.71
347.31,14.46,1.29,1018.34375,20.0523587227215,1,1,12,1,1514810703.0,8.71
342.74,14.99,1.42,1020.75,19.8131360018818,1,1,13,1,1514811603.0,8.71
334.59,15.85,1.59,1024.15625,19.4125922250762,1,1,13,1,1514812503.0,8.71
324.09,17.42,1.88,1030.15625,18.8536501522474,1,1,13,1,1514813403.0,8.71
310.77,16.54,1.68,1026.5,18.140314526144,1,1,13,1,1514814303.0,8.71
294.45,17.25,1.84,1029.09375,17.277509264214,1,1,14,1,1514815203.0,8.71
280.51,16.84,1.72,1027.53125,16.2709849878107,1,1,14,1,1514816103.0,8.71
163.39,15.24,1.41,1021.40625,15.1272000404348,1,1,14,1,1514817003.0,8.71
295.51,14.74,1.4,1020.15625,13.8531365188546,1,1,14,1,1514817903.0,8.71
91.43,12.77,0.97,1012.4375,12.4563182134225,1,1,15,1,1514818803.0,8.71
86.76,12.31,0.97,1011.34375,10.9447003829498,1,1,15,1,1514819703.0,8.71
63.18,12.37,0.94,1011.09375,9.32680711125613,1,1,15,1,1514820603.0,8.71
57.07,11.91,0.9,1009.8125,7.61223843623723,1,1,15,1,1514821503.0,8.71
24.43,12.29,0.95,1011.0625,5.81278269146547,1,1,16,1,1514822403.0,8.71
18.18,11.57,0.79,1008.34375,3.94606991308368,1,1,16,1,1514823303.0,8.71
12.79,11.04,0.72,1006.5625,2.04771036022924,1,1,16,1,1514824203.0,8.71
2.57,11.4,0.81,1007.78125,0.206258113558366,1,1,16,1,1514825103.0,8.71
2.77,7.43,0.12,993.40625,0.0835365752392941,1,2,8,2,1514880903.0,8.726111111111111
3.73,7.6,0.16,994.375,1.92010870432361,1,2,8,2,1514881803.0,8.726111111111111
